numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
1.15754E+15,11062024,Trabalho em Evento,Marcadores microssatelites no estudo de fluxo genico para duas populaçoes de algodoeiro moco no semi-arido nordestino,2006,Brasil,52º Congresso Brasilero de Genetica,Foz do Iguaçu,,,,"Milena (ALVES, M. F.), Ana Carolina de Assis Dantas (DANTAS, A. C. A.), jair (SOUSA, J. M.), PAULO (BARROSO, P. A. V.), Francisco P de Andrade (ANDRADE, F. P.), IVAN (MENEZES, I. P.P.), ANA (CIAMPI, A. Y.)"
1.15754E+15,11062024,Trabalho em Evento,Marcadores microssatelite especie especificos para monitorar fluxo genico entre o algodão cultivado e Gossypium barbadense,2006,Brasil,52º  Congresso Brasileiro de Genetica,Foz do Iguaçu,,,,"IVAN (MENEZES, I. P.P.), Milena (ALVES, M. F.), PAULO (BARROSO, P. A. V.), Lucia Vieira Hoffmann (HOFFMANN, L. V.), Francisco P de Andrade (ANDRADE, F. P.), Ana Carolina de Assis Dantas (DANTAS, A. C. A.), ANA (CIAMPI, A. Y.)"
1.15754E+15,11062024,Trabalho em Evento,. Genetic diversity among feral populations of moco cotton from the Brazilian semiarid region,2006,Brasil,. Genetic diversity among feral populations of moco cotton from the Brazilian semiarid region,Brasilia,,,,"Lucia Vieira Hoffmann (HOFFMANN, L. V.), IVAN (MENEZES, I. P.P.), Milena (ALVES, M. F.), Ana Carolina de Assis Dantas (DANTAS, A. C. A.), PAULO (BARROSO, P. A. V.)"
1.15754E+15,11062024,Trabalho em Evento,Seleção de primers para analise de fluxo gênico entre algodoeiros herbáceo e mocó,2006,Brasil,XVII Encontro de Genetica do Nordeste,Recife-PE,,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), Milena (ALVES, M. F.), IVAN (MENEZES, I. P.P.), PAULO (BARROSO, P. A. V.), Francisco P de Andrade (ANDRADE, F. P.), Lucia Vieira Hoffmann (HOFFMANN, L. V.)"
1.15754E+15,11062024,Trabalho em Evento,Análise de Fragmentos de Lambda PST em Geis de Eletroforese de Poliacrilamida,2006,Brasil,XVII Encontro de Genética do Nordeste,Recife-PE,,,,"IVAN (MENEZES, I. P.P.), Milena (ALVES, M. F.), VALESKA (LUCENA, V.  da S), Lucia Vieira Hoffmann (HOFFMANN, L. V.), PAULO (BARROSO, P. A. V.), Ana Carolina de Assis Dantas (DANTAS, A. C. A.)"
1.15754E+15,11062024,Trabalho em Evento,"DETECTION OF RICIN, A ricinus communis RIBOSOME INACTIVATING PROTEIN BY ELISA",2007,Brasil,I Simposio Brasileiro de Genetica Molecular de Plantas,Natal/RN,,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), Lucia Vieira Hoffmann (HOFFMANN, L. V.), Soares, L. S (LIV severino soares), PAULO (BARROSO, P. A. V.)"
1.15754E+15,11062024,Trabalho em Evento,Macadores Microssatelite para Caracterização Genetica do Algodoeiro Verdão,2008,Brasil,II SIMPOSIO BRASILEIRO DE RECURSOS GENETICOS,BRASILIA,,,,"RODOLFO BARBOSA DE FREITAS (FREITAS, R. B. de), Ana Carolina de Assis Dantas (DANTAS, A. C. A.), Lucia Vieira Hoffmann (HOFFMANN, L. V.), PAULO (BARROSO, P. A. V.)"
1.15754E+15,11062024,Trabalho em Evento,ALOCAÇÃO DE RECURSOS EM EXPERIMENTOS DE AVALIAÇÃO DE HIBRIDOS DE MELOEIRO,2010,Brasil,XXI CONGRESSO BRASILEIRO DE FRUTICULTURA,NATAL-RN,,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), ROMEU NETO (NETO, R. de C. A.), GLAUBER (NUNES, G. H. S.), ELAÍNE (PEREIRA, E. W. L.), Livia (MAIA, L. K. R.), GABRIEL (COSTA, G. G.), HAMILTON (FILHO, J. H. C), WILLAME (CANDIDO, W. dos S.)"
1.15754E+15,11062024,Trabalho em Evento,CARACTERIZAÇÃO MOLECULAR DE ACESSOS DE MELÃO(CUCUMIS MELO L.) DO BANCO DE GERMOPLSMA DA UFERSA,2010,Brasil,XXI CONGRESSO BRASILEIRO DE FRUTICULTURA,NATAL-RN,,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), iona (ARAÚJO, I. S.), GLAUBER (NUNES, G. H. S.), LEIDIANE (ALBUQUERQUE, L. B.), RUI (JUNIOR, R. S), SAKAMOTO (SAKAMOTO, S. M.)"
1.15754E+15,11062024,Trabalho em Evento,AVALIATION AND SELETION OF POLYMORPHIC DNA MARKERS IN MELO ACCESSES (CUCUMIS MELO L.),2010,Brasil,3º CONGRESSO BRASILEIRO DE BIOTECNOLOGIA,fORTALEZA-CE,,,,"Ana Carolina de Assis Dantas (DANTAS, A. C. A.), iona (ARAÚJO, I. S.), GLAUBER (NUNES, G. H. S.), LEIDIANE (ALBUQUERQUE, L. B.), EMANUELA (ALVES, E. de O.), RUI (JUNIOR, R. S), SAKAMOTO (SAKAMOTO, S. M.)"
1.15754E+15,11062024,Trabalho em Evento,EFEITO DE DIFERENTES CONCENTRAÇÕES DE CERA DE CARNAÚBA SOBRE O TEMPO DE MATURAÇÃO PÓS-COLHEITA EM FRUTOS DE MAMÃO,2010,Brasil,XXI CONGRESSO BRASILEIRO DE FRUTICULTURA,NATAL-RN,,,,"DIEGO (NOGUEIRA, D. R. S.), HAMILTON (FILHO, J. H. C), GABRIEL (COSTA, G. G.), Livia (MAIA, L. K. R.), jose maria (COSTA, J. M. da), RAVIER (MEDEIROS, R. V. de), LEIDIANE (ALBUQUERQUE, L. B.), Ana Carolina de Assis Dantas (DANTAS, A. C. A.)"
1.15754E+15,11062024,Trabalho em Evento,REAÇÕES DE PCR PARA AMPLIFICAÇÃO DE PRIMERS RAPD EM MELANCIA (Citrullus lanatus L.),2010,Brasil,XXI CONGRESSO BRASILEIRO DE FRUTICULTURA,NATAL-RN,,,,"DIEGO (NOGUEIRA, D. R. S.), LEIDIANE (ALBUQUERQUE, L. B.), iona (ARAÚJO, I. S.), Ana Carolina de Assis Dantas (DANTAS, A. C. A.), RUI (JUNIOR, R. S)"
